student_id,theta,alpha,phi,s,g,tau,h
1529,0.487,0.44,0.038,0.041,0.041,1.437,0.859
1530,0.549,0.238,0.446,0.128,0.031,1.288,0.957
1531,0.704,0.297,0.187,0.106,0.035,0.559,0.087
1532,0.356,0.24,0.074,0.046,0.131,0.81,0.08
1533,0.67,0.121,0.342,0.041,0.086,1.177,0.174
1534,0.567,0.062,0.087,0.173,0.128,1.374,0.102
1535,0.654,0.375,0.458,0.026,0.188,1.327,0.975
1536,0.86,0.141,0.135,0.083,0.174,1.08,0.676
1537,0.727,0.67,0.228,0.186,0.056,1.275,0.276
1538,0.676,0.14,0.189,0.075,0.112,1.609,0.796
1539,0.777,0.389,0.213,0.142,0.117,0.503,0.571
1540,0.636,0.191,0.067,0.181,0.022,0.776,0.34
1541,0.632,0.1,0.086,0.044,0.056,1.242,0.002
1542,0.552,0.302,0.255,0.013,0.081,0.987,0.484
1543,0.595,0.468,0.349,0.004,0.198,0.799,0.863
1544,0.81,0.671,0.319,0.104,0.099,1.1,0.785
1545,0.493,0.256,0.149,0.11,0.2,0.876,0.978
1546,0.454,0.556,0.373,0.064,0.154,1.979,0.728
1547,0.585,0.132,0.107,0.167,0.008,1.056,0.104
1548,0.855,0.48,0.098,0.008,0.023,1.067,0.647
1549,0.473,0.092,0.443,0.099,0.083,1.726,0.604
1550,0.695,0.459,0.276,0.191,0.19,1.737,0.147
1551,0.736,0.691,0.219,0.126,0.171,0.537,0.984
1552,0.489,0.282,0.061,0.081,0.039,1.062,0.419
1553,0.559,0.428,0.2,0.114,0.073,0.618,0.061
1554,0.701,0.012,0.088,0.165,0.161,1.932,0.633
1555,0.597,0.123,0.327,0.086,0.08,1.796,0.989
1556,0.573,0.278,0.047,0.055,0.055,1.296,0.278
1557,0.607,0.024,0.312,0.124,0.094,1.969,0.014
1558,0.854,0.263,0.184,0.005,0.133,1.185,0.736
1559,0.819,0.115,0.339,0.078,0.153,0.692,0.55
1560,0.838,0.133,0.176,0.177,0.126,1.515,0.752
1561,0.301,0.145,0.11,0.122,0.153,1.108,0.338
1562,0.864,0.207,0.038,0.095,0.046,0.941,0.765
1563,0.767,0.521,0.01,0.164,0.033,1.035,0.057
1564,0.604,0.226,0.248,0.149,0.024,0.546,0.622
1565,0.688,0.43,0.365,0.01,0.054,1.426,0.354
1566,0.332,0.523,0.215,0.119,0.07,1.05,0.304
1567,0.535,0.309,0.053,0.184,0.06,0.704,0.672
1568,0.745,0.274,0.538,0.095,0.122,1.815,0.865
1569,0.737,0.436,0.137,0.152,0.095,0.895,0.082
1570,0.506,0.076,0.422,0.159,0.176,1.816,0.259
1571,0.441,0.402,0.202,0.081,0.067,1.089,0.798
1572,0.536,0.352,0.201,0.011,0.103,1.432,0.873
1573,0.758,0.432,0.102,0.001,0.115,0.52,0.582
1574,0.758,0.244,0.136,0.163,0.083,1.025,0.718
1575,0.472,0.215,0.299,0.051,0.069,1.302,0.773
1576,0.412,0.418,0.125,0.073,0.195,0.546,0.085
1577,0.731,0.371,0.33,0.112,0.005,1.127,0.06
1578,0.312,0.453,0.12,0.077,0.061,1.643,0.474
1579,0.558,0.095,0.197,0.188,0.069,0.862,0.7
1580,0.393,0.199,0.151,0.017,0.132,1.763,0.146
1581,0.731,0.043,0.325,0.176,0.162,1.873,0.347
1582,0.686,0.156,0.084,0.146,0.14,1.218,0.852
1583,0.405,0.206,0.117,0.196,0.056,1.69,0.509
1584,0.574,0.088,0.376,0.088,0.106,1.478,0.727
1585,0.621,0.171,0.09,0.109,0.043,1.384,0.425
1586,0.458,0.51,0.19,0.156,0.197,0.801,0.206
1587,0.519,0.382,0.145,0.092,0.061,1.637,0.217
1588,0.792,0.331,0.067,0.008,0.104,1.074,0.204
1589,0.771,0.33,0.322,0.038,0.082,1.524,0.376
1590,0.405,0.137,0.138,0.176,0.01,0.944,0.15
1591,0.885,0.502,0.246,0.066,0.086,0.915,0.656
1592,0.471,0.323,0.224,0.026,0.0,0.566,0.811
1593,0.849,0.408,0.335,0.083,0.112,1.293,0.196
1594,0.77,0.477,0.181,0.099,0.166,1.195,0.054
1595,0.419,0.242,0.362,0.027,0.022,0.879,0.664
1596,0.666,0.196,0.07,0.108,0.066,1.954,0.927
1597,0.549,0.303,0.337,0.097,0.07,0.94,0.459
1598,0.693,0.153,0.413,0.151,0.028,1.176,0.211
1599,0.485,0.198,0.427,0.135,0.131,0.692,0.075
1600,0.65,0.348,0.382,0.194,0.157,1.575,0.913
1601,0.58,0.318,0.138,0.006,0.076,1.46,0.451
1602,0.232,0.147,0.007,0.11,0.161,0.55,0.873
1603,0.564,0.372,0.22,0.128,0.016,1.808,0.062
1604,0.52,0.612,0.208,0.145,0.081,1.72,0.082
1605,0.819,0.053,0.306,0.084,0.053,1.754,0.66
1606,0.88,0.154,0.025,0.198,0.096,1.525,0.415
1607,0.843,0.484,0.185,0.131,0.186,1.101,0.582
1608,0.449,0.468,0.183,0.001,0.131,1.155,0.245
1609,0.677,0.172,0.03,0.145,0.2,1.669,0.938
1610,0.457,0.268,0.26,0.074,0.116,0.656,0.566
1611,0.427,0.233,0.263,0.019,0.149,1.262,0.885
1612,0.488,0.223,0.013,0.176,0.073,0.904,0.88
1613,0.459,0.089,0.076,0.128,0.087,1.466,0.434
1614,0.724,0.568,0.251,0.077,0.022,1.939,0.728
1615,0.799,0.45,0.119,0.085,0.165,0.851,0.966
1616,0.689,0.163,0.41,0.198,0.131,0.808,0.329
1617,0.787,0.221,0.194,0.187,0.136,1.292,0.71
1618,0.564,0.255,0.269,0.153,0.049,1.496,0.305
1619,0.498,0.506,0.019,0.021,0.113,1.442,0.163
1620,0.637,0.456,0.189,0.126,0.048,0.809,0.528
1621,0.334,0.419,0.059,0.069,0.186,1.529,0.54
1622,0.711,0.445,0.283,0.141,0.181,1.33,0.34
1623,0.891,0.106,0.167,0.109,0.1,0.774,0.19
1624,0.456,0.246,0.08,0.098,0.14,1.033,0.856
1625,0.852,0.407,0.322,0.122,0.095,1.331,0.979
1626,0.639,0.405,0.31,0.163,0.011,1.526,0.452
1627,0.514,0.056,0.102,0.052,0.038,1.292,0.775
1628,0.648,0.267,0.183,0.111,0.055,1.035,0.352
1629,0.75,0.197,0.197,0.058,0.05,0.725,0.192
1630,0.327,0.406,0.171,0.013,0.015,1.074,0.34
1631,0.705,0.561,0.362,0.065,0.06,0.999,0.228
1632,0.929,0.706,0.119,0.079,0.191,0.606,0.608
1633,0.657,0.29,0.189,0.177,0.076,0.922,0.046
1634,0.623,0.021,0.12,0.004,0.124,1.028,0.911
1635,0.628,0.72,0.06,0.032,0.171,1.189,0.366
1636,0.633,0.668,0.226,0.138,0.07,1.097,0.505
1637,0.456,0.412,0.163,0.174,0.006,0.559,0.506
1638,0.645,0.363,0.169,0.009,0.109,0.727,0.975
1639,0.572,0.741,0.158,0.039,0.081,0.791,0.087
1640,0.414,0.172,0.103,0.116,0.135,1.381,0.586
1641,0.608,0.378,0.075,0.195,0.066,1.709,0.232
1642,0.832,0.077,0.223,0.014,0.023,1.257,0.256
1643,0.783,0.09,0.254,0.107,0.074,1.201,0.155
1644,0.435,0.267,0.282,0.004,0.06,0.937,0.631
1645,0.544,0.423,0.069,0.191,0.171,1.922,0.12
1646,0.812,0.159,0.177,0.133,0.131,1.509,0.856
1647,0.593,0.26,0.197,0.013,0.188,1.461,0.103
1648,0.544,0.233,0.359,0.129,0.102,0.689,0.483
1649,0.515,0.279,0.141,0.123,0.105,1.565,0.618
1650,0.369,0.234,0.164,0.185,0.1,1.66,0.607
1651,0.576,0.153,0.091,0.01,0.146,1.122,0.036
1652,0.498,0.192,0.412,0.091,0.137,1.23,0.306
1653,0.492,0.402,0.271,0.057,0.197,1.4,0.055
1654,0.691,0.273,0.13,0.179,0.122,0.564,0.821
1655,0.464,0.284,0.095,0.156,0.192,1.453,0.088
1656,0.603,0.289,0.393,0.09,0.133,0.503,0.32
1657,0.291,0.43,0.102,0.18,0.021,0.747,0.176
1658,0.814,0.243,0.24,0.195,0.081,0.527,0.4
1659,0.563,0.156,0.407,0.032,0.012,0.535,0.057
1660,0.879,0.236,0.216,0.112,0.12,1.927,0.999
1661,0.703,0.216,0.174,0.067,0.152,0.88,0.514
1662,0.389,0.217,0.193,0.049,0.079,1.631,0.952
1663,0.667,0.497,0.116,0.055,0.019,0.789,0.792
1664,0.845,0.374,0.048,0.093,0.093,0.756,0.983
1665,0.677,0.213,0.236,0.151,0.009,1.28,0.667
1666,0.734,0.016,0.155,0.016,0.105,1.588,0.445
1667,0.242,0.101,0.129,0.195,0.019,1.535,0.78
1668,0.539,0.263,0.282,0.154,0.002,1.352,0.831
1669,0.419,0.168,0.01,0.189,0.036,1.819,0.248
1670,0.268,0.187,0.067,0.199,0.124,1.951,0.519
1671,0.4,0.387,0.29,0.17,0.091,1.283,0.775
1672,0.802,0.312,0.094,0.105,0.079,0.862,0.355
1673,0.546,0.167,0.184,0.163,0.044,1.679,0.625
1674,0.774,0.015,0.124,0.032,0.05,0.908,0.461
1675,0.514,0.502,0.156,0.081,0.152,1.11,0.617
1676,0.875,0.376,0.047,0.165,0.122,1.86,0.055
1677,0.475,0.209,0.084,0.083,0.092,0.926,0.524
1678,0.884,0.439,0.072,0.034,0.071,1.837,0.412
1679,0.742,0.374,0.255,0.143,0.121,1.879,0.368
1680,0.422,0.337,0.222,0.093,0.116,1.177,0.786
1681,0.655,0.226,0.317,0.083,0.085,0.61,0.275
1682,0.34,0.55,0.205,0.025,0.016,0.617,0.797
1683,0.653,0.217,0.195,0.004,0.174,0.853,0.088
1684,0.5,0.182,0.303,0.002,0.039,1.179,0.624
1685,0.597,0.355,0.213,0.153,0.064,1.441,0.967
1686,0.715,0.176,0.259,0.163,0.183,1.82,0.543
1687,0.67,0.353,0.114,0.085,0.139,1.275,0.657
1688,0.792,0.41,0.166,0.101,0.126,0.535,0.373
1689,0.536,0.258,0.197,0.041,0.133,0.624,0.553
1690,0.636,0.062,0.108,0.115,0.167,1.69,0.708
1691,0.668,0.596,0.086,0.092,0.089,0.972,0.775
1692,0.336,0.019,0.241,0.009,0.142,0.976,0.125
1693,0.817,0.236,0.088,0.019,0.092,1.541,0.546
1694,0.605,0.158,0.145,0.158,0.174,1.587,0.124
1695,0.673,0.538,0.099,0.146,0.19,0.828,0.624
1696,0.454,0.348,0.153,0.087,0.005,1.21,0.286
1697,0.432,0.243,0.145,0.133,0.134,1.086,0.773
1698,0.756,0.2,0.04,0.136,0.005,1.662,0.762
1699,0.715,0.223,0.19,0.13,0.127,1.561,0.961
1700,0.19,0.514,0.225,0.081,0.099,1.387,0.756
1701,0.509,0.41,0.176,0.017,0.051,1.362,0.515
1702,0.658,0.081,0.115,0.001,0.006,1.882,0.412
1703,0.795,0.226,0.194,0.07,0.169,1.77,0.224
1704,0.684,0.275,0.203,0.175,0.043,0.921,0.485
1705,0.44,0.277,0.134,0.156,0.045,1.506,0.172
1706,0.699,0.222,0.203,0.042,0.026,1.67,0.162
1707,0.759,0.349,0.074,0.061,0.089,1.748,0.149
1708,0.487,0.235,0.122,0.134,0.136,1.441,0.009
1709,0.869,0.448,0.062,0.018,0.018,1.311,0.02
1710,0.769,0.299,0.212,0.07,0.053,1.965,0.957
1711,0.644,0.267,0.339,0.02,0.085,1.243,0.952
1712,0.55,0.215,0.151,0.028,0.189,0.744,0.104
1713,0.494,0.352,0.104,0.029,0.157,1.938,0.994
1714,0.808,0.363,0.189,0.101,0.124,0.553,0.125
1715,0.433,0.231,0.27,0.067,0.168,0.777,0.609
1716,0.584,0.227,0.291,0.077,0.106,1.104,0.504
1717,0.661,0.552,0.266,0.038,0.17,1.58,0.677
1718,0.711,0.279,0.185,0.174,0.168,1.165,0.351
1719,0.702,0.311,0.083,0.129,0.02,1.328,0.499
1720,0.303,0.053,0.303,0.083,0.123,1.377,0.297
1721,0.779,0.308,0.061,0.013,0.041,0.917,0.045
1722,0.506,0.105,0.114,0.141,0.081,0.882,0.125
1723,0.423,0.302,0.121,0.069,0.008,1.381,0.151
1724,0.747,0.324,0.132,0.063,0.142,1.836,0.266
1725,0.609,0.23,0.03,0.042,0.169,0.605,0.764
1726,0.867,0.213,0.381,0.093,0.147,1.771,0.943
1727,0.542,0.295,0.302,0.182,0.132,1.884,0.384
1728,0.81,0.149,0.454,0.09,0.024,0.653,0.662
1729,0.653,0.243,0.237,0.034,0.089,0.602,0.99
1730,0.617,0.25,0.452,0.172,0.093,1.168,0.438
1731,0.553,0.143,0.389,0.094,0.012,1.4,0.392
1732,0.889,0.212,0.053,0.182,0.047,1.014,0.21
1733,0.898,0.213,0.135,0.093,0.18,0.585,0.783
1734,0.792,0.326,0.156,0.046,0.142,1.277,0.573
1735,0.575,0.344,0.029,0.13,0.093,1.629,0.728
1736,0.612,0.186,0.383,0.118,0.169,0.704,0.787
1737,0.63,0.444,0.395,0.119,0.089,1.866,0.593
1738,0.643,0.111,0.226,0.056,0.105,1.173,0.845
1739,0.396,0.157,0.066,0.092,0.125,1.203,0.513
1740,0.676,0.1,0.233,0.195,0.018,0.705,0.359
1741,0.685,0.128,0.128,0.038,0.088,1.582,0.261
1742,0.855,0.225,0.141,0.153,0.07,1.649,0.424
1743,0.269,0.472,0.076,0.163,0.193,1.176,0.297
1744,0.892,0.355,0.465,0.105,0.075,1.595,0.369
1745,0.876,0.19,0.123,0.028,0.115,0.786,0.976
1746,0.461,0.235,0.038,0.074,0.12,1.614,0.397
1747,0.736,0.318,0.278,0.022,0.167,0.75,0.007
1748,0.661,0.301,0.186,0.048,0.145,1.223,0.054
1749,0.78,0.134,0.197,0.074,0.189,1.373,0.324
1750,0.475,0.586,0.207,0.183,0.196,1.284,0.207
1751,0.485,0.199,0.62,0.073,0.132,0.63,0.33
1752,0.683,0.203,0.217,0.128,0.036,1.328,0.896
1753,0.455,0.373,0.292,0.05,0.187,1.773,0.718
1754,0.854,0.376,0.219,0.118,0.144,0.825,0.261
1755,0.647,0.492,0.215,0.037,0.062,1.838,0.072
1756,0.785,0.063,0.229,0.055,0.179,0.585,0.413
1757,0.732,0.309,0.209,0.053,0.111,0.978,0.977
1758,0.732,0.228,0.045,0.018,0.151,0.997,0.313
1759,0.614,0.207,0.277,0.135,0.145,1.595,0.407
1760,0.587,0.322,0.301,0.014,0.155,0.821,0.855
1761,0.75,0.544,0.109,0.026,0.025,1.738,0.23
1762,0.69,0.289,0.109,0.04,0.032,1.494,0.584
1763,0.532,0.074,0.19,0.071,0.191,1.964,0.162
1764,0.833,0.598,0.303,0.028,0.003,1.502,0.252
1765,0.573,0.369,0.132,0.079,0.065,1.518,0.605
1766,0.691,0.404,0.289,0.08,0.06,1.293,0.053
1767,0.817,0.258,0.332,0.152,0.126,0.813,0.695
1768,0.411,0.067,0.188,0.039,0.079,1.79,0.124
1769,0.537,0.201,0.397,0.08,0.107,0.78,0.376
1770,0.483,0.447,0.271,0.151,0.17,1.806,0.425
1771,0.582,0.344,0.314,0.172,0.095,1.002,0.779
1772,0.612,0.073,0.276,0.191,0.092,1.367,0.336
1773,0.561,0.359,0.155,0.025,0.101,0.564,0.926
1774,0.278,0.633,0.297,0.011,0.112,1.585,0.64
1775,0.789,0.175,0.174,0.147,0.138,0.548,0.235
1776,0.701,0.477,0.123,0.166,0.153,1.975,0.781
1777,0.904,0.244,0.378,0.19,0.155,0.798,0.173
1778,0.791,0.321,0.331,0.128,0.168,1.445,0.571
1779,0.88,0.225,0.206,0.165,0.142,1.988,0.069
1780,0.746,0.093,0.394,0.123,0.16,0.749,0.071
1781,0.516,0.05,0.138,0.073,0.119,1.151,0.568
1782,0.819,0.292,0.341,0.167,0.147,1.327,0.82
1783,0.696,0.271,0.275,0.197,0.199,1.75,0.088
1784,0.502,0.253,0.246,0.081,0.009,0.628,0.482
1785,0.433,0.402,0.21,0.097,0.117,0.794,0.027
1786,0.506,0.144,0.088,0.019,0.058,0.998,0.367
1787,0.802,0.447,0.214,0.193,0.051,0.757,0.81
1788,0.756,0.212,0.084,0.083,0.179,0.598,0.809
1789,0.488,0.151,0.03,0.082,0.051,0.852,0.707
1790,0.581,0.86,0.38,0.174,0.116,1.06,0.458
1791,0.505,0.347,0.304,0.012,0.107,1.826,0.018
1792,0.777,0.231,0.174,0.112,0.094,0.805,0.508
1793,0.607,0.566,0.106,0.143,0.148,1.026,0.623
1794,0.834,0.124,0.184,0.038,0.102,1.773,0.416
1795,0.77,0.055,0.258,0.176,0.188,0.973,0.015
1796,0.665,0.31,0.179,0.157,0.19,0.967,0.723
1797,0.782,0.619,0.288,0.037,0.015,0.656,0.967
1798,0.758,0.652,0.078,0.145,0.111,1.202,0.168
1799,0.761,0.298,0.516,0.154,0.173,1.322,0.039
1800,0.81,0.051,0.269,0.103,0.013,1.779,0.959
1801,0.725,0.334,0.107,0.146,0.14,0.76,0.578
1802,0.55,0.223,0.085,0.043,0.086,1.69,0.541
1803,0.687,0.089,0.064,0.059,0.07,0.98,0.781
1804,0.451,0.03,0.079,0.097,0.171,1.656,0.087
1805,0.507,0.441,0.312,0.199,0.156,1.958,0.339
1806,0.59,0.506,0.091,0.067,0.177,1.833,0.688
1807,0.786,0.085,0.014,0.179,0.002,1.025,0.44
1808,0.882,0.332,0.125,0.113,0.143,1.726,0.067
1809,0.527,0.172,0.141,0.157,0.189,0.643,0.582
1810,0.428,0.113,0.171,0.194,0.189,1.766,0.28
1811,0.403,0.088,0.185,0.131,0.118,1.783,0.79
1812,0.918,0.452,0.284,0.135,0.122,1.219,0.991
1813,0.847,0.358,0.113,0.161,0.16,0.997,0.713
1814,0.768,0.087,0.2,0.121,0.182,1.332,0.234
1815,0.559,0.356,0.228,0.054,0.035,1.692,0.81
1816,0.851,0.519,0.255,0.106,0.127,1.565,0.927
1817,0.659,0.085,0.098,0.006,0.13,1.063,0.118
1818,0.798,0.184,0.125,0.105,0.196,1.46,0.935
1819,0.766,0.289,0.153,0.159,0.068,0.681,0.929
1820,0.403,0.422,0.192,0.184,0.146,1.263,0.012
1821,0.629,0.116,0.072,0.019,0.117,1.494,0.808
1822,0.786,0.562,0.268,0.002,0.034,1.57,0.934
1823,0.584,0.136,0.265,0.091,0.177,1.33,0.227
1824,0.416,0.15,0.149,0.061,0.108,1.059,1.0
1825,0.589,0.641,0.107,0.059,0.168,1.238,0.9
1826,0.485,0.188,0.316,0.023,0.045,1.785,0.981
1827,0.715,0.101,0.194,0.192,0.058,1.075,0.817
1828,0.691,0.513,0.232,0.182,0.081,1.813,0.549
1829,0.659,0.562,0.139,0.056,0.05,1.422,0.646
1830,0.391,0.313,0.048,0.155,0.104,1.548,0.853
1831,0.502,0.079,0.263,0.082,0.115,1.086,0.47
1832,0.735,0.47,0.246,0.149,0.118,1.766,0.638
1833,0.168,0.203,0.14,0.085,0.174,1.437,0.507
1834,0.762,0.491,0.19,0.098,0.131,1.672,0.07
1835,0.855,0.151,0.069,0.081,0.015,0.981,0.256
1836,0.41,0.456,0.238,0.026,0.01,0.99,0.216
1837,0.784,0.363,0.257,0.0,0.011,0.588,0.869
1838,0.652,0.167,0.147,0.158,0.141,1.63,0.327
1839,0.424,0.36,0.185,0.196,0.104,1.01,0.504
1840,0.586,0.682,0.109,0.194,0.121,0.578,0.877
1841,0.961,0.119,0.23,0.175,0.101,1.085,0.11
1842,0.743,0.21,0.043,0.006,0.094,0.74,0.474
1843,0.591,0.408,0.139,0.14,0.072,1.728,0.45
1844,0.629,0.161,0.265,0.022,0.061,0.641,0.244
1845,0.732,0.147,0.105,0.193,0.127,1.122,0.414
1846,0.314,0.145,0.211,0.182,0.141,1.858,0.673
1847,0.733,0.451,0.159,0.078,0.167,0.731,0.436
1848,0.806,0.038,0.184,0.029,0.098,0.97,0.984
1849,0.61,0.265,0.373,0.127,0.175,1.143,0.117
1850,0.691,0.51,0.236,0.002,0.088,1.651,0.802
1851,0.617,0.156,0.219,0.044,0.141,0.813,0.126
1852,0.589,0.374,0.305,0.124,0.111,1.616,0.165
1853,0.699,0.144,0.088,0.181,0.065,1.624,0.227
1854,0.666,0.025,0.177,0.111,0.053,1.518,0.203
1855,0.761,0.286,0.097,0.074,0.06,1.558,0.106
1856,0.833,0.339,0.24,0.059,0.182,1.108,0.758
1857,0.664,0.071,0.123,0.073,0.177,1.69,0.893
1858,0.652,0.026,0.057,0.022,0.16,0.806,0.973
1859,0.785,0.209,0.268,0.066,0.074,1.576,0.649
1860,0.701,0.586,0.123,0.009,0.19,1.035,0.813
1861,0.714,0.588,0.268,0.078,0.117,1.798,0.246
1862,0.697,0.449,0.055,0.191,0.104,1.525,0.207
1863,0.819,0.229,0.12,0.092,0.116,0.621,0.601
1864,0.825,0.191,0.243,0.18,0.089,1.706,0.346
1865,0.277,0.382,0.136,0.078,0.118,1.948,0.778
1866,0.545,0.343,0.14,0.034,0.132,1.698,0.566
1867,0.666,0.062,0.13,0.109,0.019,1.066,0.959
1868,0.263,0.451,0.101,0.17,0.061,0.92,0.476
1869,0.38,0.174,0.152,0.015,0.051,1.558,0.971
1870,0.474,0.539,0.035,0.19,0.161,0.725,0.022
1871,0.777,0.12,0.129,0.033,0.146,1.12,0.473
1872,0.639,0.565,0.125,0.115,0.107,0.581,0.582
1873,0.459,0.45,0.486,0.006,0.132,1.708,0.659
1874,0.789,0.268,0.323,0.124,0.069,0.602,0.722
1875,0.403,0.156,0.144,0.18,0.066,0.87,0.682
1876,0.716,0.426,0.025,0.183,0.053,1.571,0.776
1877,0.668,0.112,0.13,0.006,0.03,1.502,0.678
1878,0.886,0.184,0.09,0.088,0.03,1.966,0.055
1879,0.623,0.186,0.423,0.182,0.066,1.963,0.137
1880,0.633,0.023,0.055,0.02,0.145,0.598,0.948
1881,0.478,0.527,0.242,0.005,0.09,1.705,0.335
1882,0.65,0.348,0.092,0.08,0.137,1.535,0.095
1883,0.279,0.16,0.079,0.186,0.102,1.415,0.387
1884,0.674,0.405,0.376,0.048,0.074,1.785,0.999
1885,0.491,0.118,0.098,0.028,0.178,1.92,0.522
1886,0.624,0.364,0.051,0.007,0.161,0.713,0.115
1887,0.267,0.244,0.132,0.196,0.143,1.993,0.656
1888,0.668,0.498,0.181,0.05,0.171,1.029,0.981
1889,0.764,0.211,0.012,0.064,0.118,1.638,0.03
1890,0.751,0.187,0.155,0.153,0.185,1.093,0.621
1891,0.255,0.214,0.371,0.083,0.193,1.049,0.449
1892,0.6,0.637,0.421,0.179,0.055,0.985,0.958
1893,0.809,0.379,0.078,0.152,0.087,0.958,0.968
1894,0.629,0.153,0.175,0.13,0.112,1.466,0.218
1895,0.827,0.241,0.077,0.049,0.169,1.73,0.854
1896,0.439,0.262,0.027,0.087,0.061,0.79,0.08
1897,0.396,0.21,0.089,0.029,0.036,1.599,0.46
1898,0.544,0.397,0.056,0.039,0.165,1.808,0.459
1899,0.766,0.209,0.118,0.078,0.141,1.629,0.881
1900,0.684,0.457,0.108,0.096,0.091,0.768,0.817
1901,0.654,0.06,0.454,0.106,0.175,1.904,0.754
1902,0.448,0.601,0.317,0.091,0.022,1.017,0.326
1903,0.895,0.063,0.356,0.003,0.027,1.891,0.467
1904,0.526,0.225,0.221,0.104,0.133,1.423,0.009
1905,0.855,0.158,0.192,0.014,0.034,0.939,0.201
1906,0.651,0.155,0.212,0.125,0.146,1.555,0.852
1907,0.229,0.504,0.161,0.14,0.006,1.919,0.001
1908,0.687,0.092,0.092,0.053,0.051,0.719,0.2
1909,0.776,0.215,0.148,0.053,0.024,1.797,0.61
1910,0.705,0.19,0.233,0.086,0.067,1.629,0.72
1911,0.549,0.115,0.255,0.119,0.08,1.971,0.562
1912,0.613,0.213,0.357,0.093,0.12,1.897,0.171
1913,0.622,0.442,0.22,0.151,0.115,1.896,0.307
1914,0.471,0.485,0.11,0.019,0.112,1.185,0.685
1915,0.651,0.116,0.185,0.176,0.094,0.503,0.203
1916,0.647,0.096,0.267,0.066,0.081,0.617,0.906
1917,0.659,0.031,0.206,0.172,0.116,1.284,0.977
1918,0.624,0.144,0.159,0.096,0.019,1.515,0.875
1919,0.678,0.306,0.391,0.137,0.099,0.841,0.829
1920,0.725,0.26,0.22,0.053,0.032,1.773,0.134
1921,0.776,0.619,0.293,0.084,0.087,0.548,0.39
1922,0.493,0.386,0.328,0.149,0.085,1.18,0.86
1923,0.48,0.239,0.117,0.151,0.165,0.556,0.182
1924,0.812,0.152,0.021,0.106,0.13,0.964,0.357
1925,0.842,0.252,0.237,0.019,0.008,1.719,0.421
1926,0.577,0.522,0.226,0.103,0.005,0.72,0.208
1927,0.821,0.366,0.221,0.115,0.082,1.9,0.038
1928,0.695,0.067,0.263,0.173,0.119,1.121,0.304
1929,0.416,0.213,0.126,0.084,0.109,1.301,0.621
1930,0.565,0.142,0.058,0.086,0.191,0.548,0.196
1931,0.952,0.077,0.019,0.044,0.1,1.725,0.824
1932,0.651,0.233,0.299,0.042,0.14,1.108,0.557
1933,0.559,0.354,0.224,0.104,0.155,1.996,0.485
1934,0.773,0.297,0.232,0.093,0.006,0.73,0.012
1935,0.74,0.235,0.334,0.169,0.057,0.686,0.301
1936,0.803,0.171,0.243,0.112,0.079,1.489,0.818
1937,0.389,0.144,0.121,0.101,0.167,0.838,0.921
1938,0.26,0.223,0.126,0.09,0.054,1.588,0.411
1939,0.728,0.485,0.434,0.082,0.143,1.039,0.541
1940,0.667,0.058,0.176,0.174,0.072,1.682,0.016
1941,0.691,0.127,0.145,0.018,0.022,1.035,0.77
1942,0.336,0.075,0.318,0.149,0.105,1.718,0.944
1943,0.67,0.553,0.176,0.012,0.074,1.465,0.351
1944,0.498,0.22,0.274,0.044,0.075,1.349,0.572
1945,0.422,0.366,0.166,0.044,0.101,1.766,0.104
1946,0.917,0.159,0.055,0.164,0.157,1.109,0.032
1947,0.914,0.373,0.081,0.164,0.005,1.095,0.638
1948,0.731,0.379,0.136,0.194,0.064,1.017,0.327
1949,0.42,0.292,0.251,0.075,0.093,1.497,0.706
1950,0.675,0.576,0.137,0.135,0.117,0.681,0.96
1951,0.838,0.14,0.176,0.086,0.157,1.551,0.716
1952,0.411,0.089,0.051,0.181,0.173,0.606,0.617
1953,0.654,0.317,0.113,0.014,0.156,1.322,0.958
1954,0.717,0.154,0.143,0.036,0.13,1.69,0.782
1955,0.526,0.427,0.064,0.171,0.148,1.829,0.082
1956,0.641,0.502,0.423,0.138,0.182,1.125,0.48
1957,0.729,0.264,0.461,0.162,0.053,1.892,0.844
1958,0.706,0.752,0.205,0.146,0.065,1.587,0.304
1959,0.447,0.335,0.145,0.169,0.122,0.947,0.633
1960,0.764,0.415,0.379,0.145,0.151,1.493,0.288
1961,0.892,0.158,0.136,0.16,0.122,1.254,0.296
1962,0.448,0.205,0.314,0.09,0.164,1.973,0.745
1963,0.916,0.203,0.048,0.069,0.025,0.861,0.665
1964,0.793,0.297,0.36,0.081,0.039,0.764,0.534
1965,0.43,0.269,0.39,0.091,0.193,1.924,0.936
1966,0.671,0.458,0.148,0.142,0.038,1.355,0.995
1967,0.771,0.223,0.3,0.177,0.071,1.544,0.717
1968,0.411,0.177,0.254,0.156,0.147,1.811,0.077
1969,0.609,0.348,0.122,0.1,0.135,1.558,0.531
1970,0.732,0.346,0.108,0.023,0.192,1.368,0.297
1971,0.689,0.179,0.192,0.044,0.019,0.721,0.61
1972,0.833,0.657,0.329,0.017,0.075,0.614,0.363
1973,0.66,0.249,0.324,0.187,0.06,1.631,0.264
1974,0.692,0.581,0.176,0.099,0.003,1.977,0.31
1975,0.787,0.429,0.141,0.041,0.018,0.664,0.366
1976,0.625,0.297,0.222,0.1,0.139,1.455,0.833
1977,0.263,0.495,0.151,0.085,0.022,0.884,0.646
1978,0.67,0.239,0.238,0.119,0.098,0.595,0.079
